Id;SharkSpeciesId;AttackedPersonId;CountryId;DateTime;Type;Area;Location;Activity;Injury;AttackSeverenity;Investigator

86;11;85;;1964/02/01 0:00:00;Unprovoked;Puntarenas Province;Puntarenas;Swimming;FATAL, right arm & left thigh bitten;Fatal;E. Vargas, M.D.

87;20;86;56;1964/01/27 0:00:00;Unprovoked;;70 miles from Suva;Spearfishing;FATAL;Fatal;Long Beach Independent, 1/281964

88;13;87;;1964/01/11 12:00:00;Unprovoked;California;Southeast Farallon Island;Spearfishing / Scuba diving (at surface);Leg & thigh bitten;NonFatal;"R. Collier, p.261-264; D. Miller & R. Collier; R. Collier, pp.26-40"

89;19;88;;1964/01/01 7:30:00;Unknown;North Island;White Island;Snorkeling;No injury;NonFatal;H.D.Baldridge (1994) SAF Case #1484, Note: Unable to verify in local records.

90;1;89;17;1963/12/26 0:00:00;Unprovoked;Queensland;Figtree Ledge, Hervey Bay;Sitting on gunwale of boat;No injury, shark's tail struck his armpit;NonFatal;Maryborough Chronicle  (Qld), 12/28/1963

91;7;90;;1963/11/30 13:00:00;Unprovoked;South Island;Charteris Bay, Lyttleton Harbour;Treading water while alongside capsized yacht;Hand & lower leg severely injured;NonFatal;"C. Dudley, R.D. Weeks, GSAF; H.D. Baldridge, SAF Case #1467; Otago Daily Times, 12/2/1963, p.7"

92;17;91;;1963/09/22 13:00:00;Unprovoked;Ysabel Island;Susukana Plantation;Spearing fish;FATAL, right thigh, calf & foot bitten;Fatal;"M.L. Aylett, Fisheries Officer; H.D. Baldridge, p.148"

93;4;92;17;1963/09/13 9:30:00;Provoked;New South Wales;Wanda Beach;Surfing;"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT";NonFatal;"P. Barron; Goulburn Evening Post; J. Green, p.35"

94;3;93;;1963/09/10 13:30:00;Provoked;Florida;Snapper Point Jetty, Miami, Dade County;Spearfishing, pulled shark’s tail;Minor injury to left forearm  PROVOKED INCIDENT;NonFatal;"H.D. Baldridge, p.166; SAF Case #1284"

95;6;94;;1963/07/28 8:00:00;Unprovoked;Eastern Caroline Islands;Koop Reef, Truk (Chuuk);Spearfishing;Upper left arm bitten;NonFatal;K. Aniol, Medical Officer

96;13;95;;1963/06/01 0:00:00;Provoked;Central Province;Near Fisherman's Island;Fishing;Hooked shark bit his nose, arm and leg PROVOKED INCIDENT;NonFatal;Pacific Post (Port Moresby), 6/4/1963

97;1;96;171;1963/05/14 0:00:00;Unprovoked;Luzon Island;100 miles southeast of Manila;Boat, with 42 passengers onboard, capsized in rough seas;Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.;Fatal;Advertiser (Adelaide), 5/21/1963

98;17;97;;1963/03/30 0:00:00;Unprovoked;Bougainville (North Solomons);;The 500-ton coastal trader Polurrian foundered;FATAL;Fatal;Sydney Morning Herald, 4/6/1963

99;17;98;17;1963/02/24 0:00:00;Unprovoked;New South Wales;Wombarra Beach near Austinmeer;Spearfishing;Left leg lacerated;NonFatal;"R. Funnell in Australian Skindiver Magazine, June/July 1963, p.8; J. Green, p.35"

100;1;;;1963/01/12 0:00:00;Provoked;Eastern Cape Province;Humewood;Fishing;Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT;NonFatal;GSAF

101;10;99;17;1997/02/28 0:00:00;Unprovoked;Queensland;Whitsunday Passage;Scuba diving;Left arm bitten;NonFatal;The Advertiser, 3/1/1997, p.12

102;3;100;17;1997/02/03 0:00:00;Boating;New South Wales;Iron Cove, Sydney;Rowing;Bruised, when shark struck scull & catapulted her into the water;NonFatal;J. Delvecchio & D. Sygall, Sydney Morning Herald, 2/4/1997, p.2

103;20;101;;1996/12/01 0:00:00;Unprovoked;South Province;L'llot Maetre;Attempting to attract dolphins;Hand bitten;NonFatal;W. Leander

104;1;102;;1996/09/02 13:25:00;Unprovoked;Florida;Bethune Beach, Volusia County;Sitting on surfboard;Small lacerations on left foot;NonFatal;"S. Petersohn, GSAF; Daytona Beach News Journal, 9/3/1999, pp. 2D & 4D, 9/7/1999, p.4C"

105;11;103;;1996/08/13 11:15:00;Unprovoked;California;Bird Rock, Tomales Point;Free diving for abalone;Left shoulder, forearm, hand & abdomen lacerated;NonFatal;R. Collier, pp.154-155

106;1;104;;1996/07/20 13:30:00;Unprovoked;Florida;New Smyrna Beach, Volusia County;Swimming;Laceration to right arm;NonFatal;S. Petersohn, GSAF

107;15;105;;1996/07/10 13:45:00;Unprovoked;Florida;New Smyrna Beach, Volusia County;;Right foot bitten;NonFatal;S. Petersohn, GSAF

108;13;106;;1996/07/04 14:00:00;Unprovoked;Florida;Public Beach, Siesta Key, Sarasota County;Standing;Laceration on left foot;NonFatal;"G. Nansen; Sarasota Herald-Tribune (FL), 7/5/1996"

109;4;107;;1996/06/25 0:00:00;Unprovoked;South Carolina;Fripp Island, Beaufort County;Body surfing;Lacerations to left shin, heel & foot;NonFatal;"C. Creswell, GSAF; Macon Telegraph, 6/17/1996"

110;11;108;17;1996/03/05 7:00:00;Unprovoked;Queensland;Heron Island;Swimming breast stoke;Left arm & leg lacerated;NonFatal;"Advertiser, 3/6/1996, p.9; Daily Mail (London), 3/9/1996"

111;2;109;;1996/02/19 0:00:00;Provoked;Missouri;St. Louis;Swimming in fish tank;5 punctures to hand from captive shark PROVOKED INCIDENT;NonFatal;"Deseret News, 2/19/1996; European Stars and Stripes, 2/20/1996"

112;17;110;56;1996/01/01 0:00:00;Unprovoked;Taveuni;;;FATAL;Fatal;"R. Weeks, GSAF; Otago Daily Times, 6/18/1997"

113;9;111;176;1995/09/16 0:00:00;Unprovoked;Saint-Denis;;Body-boarding;FATAL;Fatal;LeQuotidien, 12/4/1999

114;13;112;;1995/09/13 0:00:00;Unprovoked;Florida;Alligator Reef, off Islamorada, Monroe County;Scuba diving;Presumed FATAL, body not recovered;Fatal;"G. Hubbell; J. Castro; Ocala Star-Banner, 9/22/1995; Orlando Sentinel, 9/23/1995, p.D1"

115;1;113;17;1995/09/11 15:00:00;Unprovoked;Western Australia;Honeymoon Island, near Hopetown;Abalone diving using Hookah (near calving whales);FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995;Fatal;"The Advertiser, 9/13/1995, p.2; H. Edwards, pp.1-8"

116;13;114;;1995/09/03 0:00:00;Unknown;North Carolina;Bald Head Island, Brunswick County;Swimming;Laceration to lower leg;NonFatal;Wilmington MorningStar, 9/5/1995

117;6;115;;1995/08/13 0:00:00;Unknown;North Carolina;Emerald Isle, Carteret County;Swimming;"Death resulted fom drowning; shark bites were post-mortem";Fatal;J. L. Almeida, M.D.

118;7;116;;1995/08/01 0:00:00;Unknown;California;Carmel, Monterey County;Diving;Torso bitten;NonFatal;Reported in Oct issue of Diver magazine, possibly confused with Marco Flagg incident

119;12;117;;1995/07/23 0:00:00;Unprovoked;Florida;South Jetty, New Smyrna Beach, Volusia County;Body boarding;Foot bitten;NonFatal;P. LaMee, Orlando Sentinel, 8/12/1995, p.D.1

120;1;118;;1995/06/13 0:00:00;Unprovoked;Clearwater Bay;First Beach;Swimming;FATAL, left  leg & forearm severed;Fatal;"J. Wong & R.D. Weeks, GSAF; Daily Telegraph Mirror, 6/14/1995, p.42"

121;14;119;;1995/05/31 0:00:00;Unprovoked;New Territories;Sai Kung Beach;Diving;FATAL, right leg severed, left leg lacerated;Fatal;"J. Wong, GSAF; Daily Telegraph Mirror, 6/3/1995;"

122;13;120;;1995/05/12 0:00:00;Unprovoked;;Jangkodo Island;Diving for abalone;Right leg severed FATAL;Fatal;Y. Choi & K. Nakaya

123;15;121;17;1995/03/11 7:30:00;Unprovoked;South Australia;Cactus Beach;Surfing;Left arm lacerated;NonFatal;Advertiser, 3/13/1995, p.1 & 7/22/1995, p.13

124;1;122;238;1995/02/01 0:00:00;Unprovoked;;;Wind surfing;Right ankle & foot bitten;NonFatal;A. Brenneka, sharkattacksurvivors.com

125;11;123;;1995/01/24 18:00:00;Unprovoked;KwaZulu-Natal;Isipingo;Swimming;FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated;Fatal;A. Gifford, GSAF

126;11;124;;1994/12/30 16:00:00;Unprovoked;Western Cape Province;Mossel Bay;Body boarding;No injury, board bitten;NonFatal;"M. Levine, GSAF; M.  Marks"

127;10;125;;1994/12/18 14:45:00;Unprovoked;Hawaii;Kinikini, Mana, Kaua'i;Surfing, sitting on board;No injury, shark bit surfboard;NonFatal;Hawaii Department of Land and Natural Resources

128;13;126;;1994/11/06 16:00:00;Unprovoked;Hawaii;Kealia Beach, Kaua'i;Surfing;No injury, shark bit surfboard;NonFatal;Hawaii Department of Land and Natural Resources

129;20;127;32;1994/10/18 0:00:00;Unprovoked;Pernambuco;Piedade;Surfing;Survived;NonFatal;JCOnline

130;1;128;;1994/10/09 13:00:00;Provoked;Florida;Bill Baggs Cape Florida State Recreation Area, Miami-Dade County;Wading;Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT;NonFatal;Miami Herald, 10/9/1994

131;17;129;;1994/09/21 16:30:00;Unprovoked;Oregon;Short Sand Beach, Oswald West State Park;Surfing;No injury, surfboard bitten;NonFatal;R. Collier+M2079

132;17;130;;1994/09/05 11:15:00;Unprovoked;Hawaii;Makaha Surf Beach;Jumped off rocks into white water;Left calf bitten;NonFatal;Dr. P. Bjorkman

133;1;131;;1994/05/23 0:00:00;Unprovoked;Florida;New Smyrna Beach, Volusia County;Wading;Gash on ankle;NonFatal;Orlando Sentinel, 5/24/1994, p. C3 &  5/25/ 1994, p. D.3

134;3;132;;1994/04/03 15:00:00;Unprovoked;Florida;Miami Beach, Dade County;Freediving for seashells;Left shoulder lacerated;NonFatal;Miami Herald, 4/5/1994

135;16;133;38;1994/03/23 11:51:00;Unprovoked;;300 miles East of Easter Island;Swimming alongside NOAA research vessel Discoverer;Thigh bitten;NonFatal;H. Boswell, M. Levine, GSAF

136;13;134;32;1994/03/01 0:00:00;Unprovoked;Pernambuco;Boa Viagem, Recife;Surfing;Leg bitten;NonFatal;O. Gadig, BRASAF

137;14;135;;1994/02/27 11:00:00;Unprovoked;Western Cape Province;Saxon Reef;Spearfishing;Swim fin bitten;NonFatal;G. Lieberman, M. Levine, GSAF

138;17;136;;1993/12/01 0:00:00;Unprovoked;Hawaii;Waipo;Surfing;FATAL;Fatal;Allen, pp.109-110

139;7;137;17;1993/11/21 15:15:00;Unprovoked;Western Australia;A pearl  farm in Roebuck Bay;Hookah diving;FATAL;Fatal;H. Edwards, pp.135-137

140;1;138;;1993/10/30 16:30:00;Unprovoked;California;"""Bunkers"" Eureka, Humboldt County";Surfing;Serious injury to left leg;NonFatal;R. Collier, pp.144-145

141;19;139;198;1993/09/30 0:00:00;Unprovoked;Banaadir Region;Mogadishu;Swimming;FATAL;Fatal;"Houston Chronicle, 10/9/1993; Times of London, 11/25/1993, et al"

142;3;140;;1993/09/16 0:00:00;Unprovoked;La Libertad;near El Cocal Beach;Surfing;Left leg gashed;NonFatal;Tampa Tribune, 9/18/1993

143;10;141;;1993/09/14 0:00:00;Unprovoked;Florida;Huguenot Memorial Park, Duval County;Wading;Left foot bitten;NonFatal;"Orlando Sentinel, 9/17/1993, p. B.6; Miami Herald, 9/17/1993; Ocala Star Banner, 9/17/1993"

